p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
7,8,105,105.8.a.f,13,-1,0,0,0,2:[1:6];11:[1:0];13:[1:1];17:[1:2];19:[1:6];23:[1:6];29:[1:2];31:[1:4];37:[1:2];41:[1:1];43:[1:3];47:[1:1];53:[1:4];59:[1:4];61:[1:5];67:[1:3];71:[1:5];73:[1:5];79:[1:6];83:[1:3];89:[1:1];97:[1:3],1,1
3,8,105,105.8.a.g,37,1,-2,0,2,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,8,105,105.8.a.g,37,1,-1,1,2,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
5,8,105,105.8.a.g,17,-1,-2,0,2,2:[1:0];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3];29:[1:3];31:[1:4];37:[1:1];41:[1:2];43:[1:0];47:[1:2];53:[1:4];59:[1:0];61:[1:2],2,1
5,8,105,105.8.a.g,17,-1,0,1/2,1/2,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],2,1
7,8,105,105.8.a.g,17,-1,-2,0,2,2:[1:0];11:[1:0];13:[1:6];17:[1:6];19:[1:5];23:[1:1];29:[1:6];31:[1:5];37:[1:0];41:[1:5];43:[1:1];47:[1:6];53:[1:0];59:[1:1];61:[1:2];67:[1:0];71:[1:2];73:[1:4];79:[1:6];83:[1:2];89:[1:6];97:[1:4],1,1
7,8,105,105.8.a.g,17,-1,-3,1,4,2:[1:1];11:[1:4];13:[1:2];17:[1:5];19:[1:3];23:[1:0];29:[1:2];31:[1:0];37:[1:3];41:[1:4];43:[1:3];47:[1:6];53:[1:3];59:[1:4];61:[1:2];67:[1:2];71:[1:1];73:[1:4];79:[1:0];83:[1:2];89:[1:6];97:[1:5],1,1
7,8,105,105.8.a.g,17,-1,0,1,1,2:[1:2:5];11:[1:2:5];13:[1:6:6];17:[1:4:1];19:[1:5:3];23:[1:6:6];29:[1:5:2];31:[1:1:4];37:[1:3:5];41:[1:5:5];43:[1:4:5];47:[1:5];53:[1:3:1];59:[1:4:5];61:[1:3];67:[1:5:3];71:[1:5:2];73:[1:6:4];79:[1:1:6];83:[1:4];89:[1:4];97:[1:5:2],1,2
3,8,105,105.8.a.e,8,-1,-2,0,2,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,8,105,105.8.a.e,8,-1,-1,1,2,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
5,8,105,105.8.a.e,8,-1,-2,0,2,2:[1:3];11:[1:0];13:[1:3];17:[1:1];19:[1:2];23:[1:1];29:[1:3];31:[1:1];37:[1:4];41:[1:1];43:[1:3];47:[1:4];53:[1:0];59:[1:4];61:[1:2],1,1
